evidence_id,observation,conditions
EV-0712,"The Roccbox can be transported by car, but at nearly 20 kg it is less portable than the 13.5 kg Tread; its particular appeal lies in the optional wood burner and included equipment.","Purchase inference based on manufacturer weights, included accessories and stated fuels; no independent endurance comparison is added."
EV-0800,ASIN B0G8KQW3ZW could be ordered at €50.00 and was shown as in stock.,"Amazon.fr page checked for delivery to Paris 75001; price, seller, offer contents and stock subject to change."
EV-0801,"Ooni states a 30.5 cm anodised-aluminium head, a glass-reinforced nylon handle, perforations intended to release flour and steam, 585 g and 65.9 × 30.5 × 3 cm.","Manufacturer specifications; hand washing, indoor storage and no prolonged exposure to high temperatures also stated."
EV-0802,ASIN B08BCP36HF could be ordered at €49.99 with twelve units displayed.,"Amazon.fr page checked for delivery to Paris 75001; price, seller, offer contents and stock subject to change."
EV-0803,"Ooni states a solid aluminium plate, a glass-reinforced nylon handle, 530 g and 30.5 × 66 × 3.5 cm for the 30 cm version.",Manufacturer specifications for the selected version.
EV-0804,ASIN B07TB9LBHR could be ordered at €34.99 and was shown as in stock.,"Amazon.fr page checked for delivery to Paris 75001; price, seller, offer contents and stock subject to change."
EV-0805,"Ooni states 50.5 × 30.5 × 1.2 cm, 717 g and use for launching, serving and cutting for its 30 cm peel board.","Manufacturer specifications; hand washing, complete drying and no prolonged exposure to extreme temperatures stated."
EV-0806,ASIN B00MBVA64Q could be ordered at €38.06 and was shown as in stock.,"Amazon.fr page checked for delivery to Paris 75001; price, seller, offer contents and stock subject to change."
EV-0807,"Weber states a stainless-steel peel measuring 57 × 31.5 × 4.3 cm, a pivoting rubber handle and dishwasher compatibility.",French manufacturer specifications.
EV-0808,Ooni distinguishes solid or perforated launch peels from small turning peels and recommends matching peel width to the oven and the pizza.,Manufacturer guide used to distinguish the actions; no brand superiority is inferred from it.
EV-0809,"For a first peel around 30 cm, the practical choice depends first on the oven opening, launching technique, ability to shed excess flour and storage; the sources do not support a shared durability or comfort ranking.","Purchase inference based on published dimensions, materials, uses and limits; no Four à Nu comparative test."
EV-0810,ASIN B00164DYPM could be ordered at €30.82 with €4.99 delivery and was shown as in stock.,"Amazon.fr page checked for delivery to Paris 75001; price, seller, offer contents and stock subject to change."
EV-0811,"Dreamfarm states a length of 32 cm, a weight of 200 g, separable 15 cm 420J2 stainless-steel blades and a nylon shoe resistant up to 205°C to protect the cutting surface.",Manufacturer specifications; dishwasher compatibility and serving use also stated.
EV-0812,ASIN B005GB8LZE could be ordered at €29.90 and was shown as in stock.,"Amazon.fr page checked for delivery to Paris 75001; price, seller, offer contents and stock subject to change."
EV-0813,"Triangle describes stainless-steel scissors with raised handles, able to cut up to the edge of a tray, with separable dishwasher-safe blades.",Manufacturer specifications; no serving-peel function stated.
EV-0814,ASIN B07N7RGL8H could be ordered at €11.10 with €7.64 delivery and three units displayed.,"Amazon.fr page checked for delivery to Paris 75001; price, seller, offer contents and stock subject to change."
EV-0815,"GEFU states 27.2 × 8.2 × 1.6 cm, 186 g, separable blades, a small serving peel, dishwasher compatibility and a five-year warranty.",Manufacturer specifications; steel and Soft Touch plastic stated.
EV-0816,ASIN B07N242DNY could be ordered at €6.19 and was shown as in stock.,"Amazon.fr page checked for delivery to Paris 75001; price, seller, offer contents and stock subject to change."
EV-0817,"Fackelmann presents black 25 cm pizza scissors; the public documentation gathered remains less detailed than for the other three references on disassembly, weight and heat resistance.",Manufacturer documentation consulted with the merchant page without extrapolating missing characteristics.
EV-0818,"The choice depends mainly on the surface to protect, the edge of the dish, serving and cleaning; the sources do not support a shared ranking of cutting effort, edge retention or durability.",Purchase inference based on the stated geometry and functions; no Four à Nu comparative test.
EV-0820,ASIN B0GGSFJWD3 could be ordered at €40.00 and was shown as in stock.,"Amazon.fr page checked for delivery to Paris 75001; price, seller, offer contents and stock subject to change."
EV-0821,"Ooni states -30 to 550°C, a 10:1 distance-to-spot ratio, adjustable emissivity, a response under 300 ms and minimum, maximum and average modes; the device is preset for Ooni cordierite.",Manufacturer specifications; accuracy not independently assessed by Four à Nu.
EV-0822,ASIN B0CFVZQFZ5 could be ordered at €35.09 and was shown as in stock.,"Amazon.fr page checked for delivery to Paris 75001; price, seller, offer contents and stock subject to change."
EV-0823,"Bosch states -30 to 500°C, a 12:1 distance-to-spot ratio, three material groups and spot or continuous measurements; pizza stone is among the cited uses.",Manufacturer specifications; accuracy not independently assessed by Four à Nu.
EV-0824,ASIN B0BGGJH3G2 could be ordered at €18.94 and was shown as in stock.,"Amazon.fr page checked for delivery to Paris 75001; price, seller, offer contents and stock subject to change."
EV-0825,"ThermoPro states -50 to 550°C, a 12:1 distance-to-spot ratio, emissivity adjustable from 0.1 to 1.0, a 500 ms response and minimum, maximum and average displays.",Manufacturer specifications; accuracy not independently assessed by Four à Nu.
EV-0826,ASIN B0D2R4GGF5 could be ordered at €24.99 and was shown as in stock; the offer included a separate food probe.,"Amazon.fr page checked for delivery to Paris 75001; price, seller, offer composition and stock subject to change."
EV-0827,"Tilswall states -50 to 600°C, a 12:1 distance-to-spot ratio, adjustable emissivity, a 0.5 s response and high and low alarms.",Manufacturer specifications for the infrared sensor; the food probe in the Amazon offer is a separate sensor.
EV-0828,"All four devices cover the stated temperatures of many pizza ovens; the practical choice depends more on the surface, distance-to-spot ratio and simplicity of the settings than on the numerical ceiling alone.","Purchase inference based on manufacturer ranges, distance-to-spot ratios and settings; no Four à Nu accuracy test."
EV-0830,ASIN B0CWPKL3JW could be ordered at €19.90 and was shown as in stock.,"Amazon.fr page checked for delivery to Paris 75001; price, seller, offer contents and stock subject to change."
EV-0831,"ZiiPa states 40.5 × 30 × 8.5 cm, polypropylene, an integrated airtight lid, dishwasher compatibility and up to six 250 g dough balls.",Manufacturer specifications; capacity depends on weight and proofing.
EV-0832,ASIN B08XY4JPKH could be ordered at €28.30 and was shown as in stock with its lid.,"Amazon.fr page checked for delivery to Paris 75001; price, seller, offer composition and stock subject to change."
EV-0833,"Gilac states 40 × 30 × 10 cm, 9 litres, 1.05 kg, food-grade HDPE, a flat and smooth base and an average capacity of six to nine dough balls.",Manufacturer specifications; French manufacture stated and capacity dependent on dough-ball weight.
EV-0834,ASIN B0CQMFMYVS could be ordered at €25.13 with eleven units displayed; the lid was not included.,"Amazon.fr page checked for delivery to Paris 75001; price, seller, offer composition and stock subject to change."
EV-0835,"HENDI states 53 × 32.5 × 9 cm externally, 48 × 28 × 8.5 cm internally, BPA-free HDPE, -40 to 90°C and a separate lid, reference 880982.",Manufacturer specifications; stackability stated.
EV-0836,ASIN B08XY4CQQR could be ordered at €38.25 and was shown as in stock with its lid.,"Amazon.fr page checked for delivery to Paris 75001; price, seller, offer composition and stock subject to change."
EV-0837,"Gilac states 60 × 40 × 9 cm, 15 litres, 1.27 kg and an internal base of 55.5 × 35.5 × 8 cm in HDPE.",Manufacturer specifications; French manufacture and a flat and smooth base stated.
EV-0838,"In a domestic refrigerator, a format close to 40 × 30 cm is the safest starting point; GN 1/1 and 60 × 40 cm formats make sense only after measuring the access clearance and the shelf, and checking whether the lid is supplied.","Purchase inference based on manufacturer or merchant dimensions, volumes and offers; no Four à Nu airtightness or durability test."
EV-0840,ASIN B0F544VFNG matched the exact Ooni Koda 2 model on Amazon.fr.,"Amazon.fr marketplace check for the French territory; seller, variant, contents and availability subject to change."
EV-0841,ASIN B0F5443PMQ matched the exact Ooni Koda 2 Pro model on Amazon.fr.,"Amazon.fr marketplace check for the French territory; seller, variant, contents and availability subject to change."
EV-0842,ASIN B0CVQDZD82 matched the exact Ooni Koda 12 model on Amazon.fr.,"Amazon.fr marketplace check for the French territory; seller, variant, contents and availability subject to change."
EV-0843,ASIN B0CVQNGC8X matched the exact Ooni Koda 16 model on Amazon.fr.,"Amazon.fr marketplace check for the French territory; seller, variant, contents and availability subject to change."
EV-0844,ASIN B0G7LQP7FY matched the exact Ooni Karu 2 model on Amazon.fr.,"Amazon.fr marketplace check for the French territory; seller, variant, contents and availability subject to change."
EV-0845,ASIN B0DLH28V1D matched the exact Ooni Karu 2 Pro model on Amazon.fr.,"Amazon.fr marketplace check for the French territory; seller, variant, contents and availability subject to change."
EV-0846,ASIN B0G4ZN7YNZ matched the exact Ooni Karu 12 model on Amazon.fr.,"Amazon.fr marketplace check for the French territory; seller, variant, contents and availability subject to change."
EV-0847,ASIN B0GXZZNLCM matched the exact Ooni Volt 2 model on Amazon.fr.,"Amazon.fr marketplace check for the French territory; seller, variant, contents and availability subject to change."
EV-0848,ASIN B0H629MKNC matched the exact Ooni Halo Core model on Amazon.fr.,"Amazon.fr marketplace check for the French territory; seller, variant, contents and availability subject to change."
EV-0849,"ASIN B0FPXDMSFZ matched the exact Ooni Halo Pro model, and the authorised affiliate short link resolved to this page.","Amazon.fr marketplace check for the French territory; seller, variant, contents and availability subject to change."
EV-0850,The Amazon.fr search did not find a page that unambiguously matched the exact Ooni Koda 2 Max model.,Search performed for the French territory; this spot check does not prove unavailability and does not justify any generic link.
EV-0851,The Amazon.fr search did not find a page that unambiguously matched the exact Gozney Arc XL model.,Search performed for the French territory; this spot check does not prove unavailability and does not justify any generic link.
EV-0852,The Amazon.fr search did not find a page that unambiguously matched the exact Gozney Arc Lite model.,Search performed for the French territory; this spot check does not prove unavailability and does not justify any generic link.
EV-0853,The Amazon.fr search did not find a page that unambiguously matched the exact Gozney Tread model.,Search performed for the French territory; this spot check does not prove unavailability and does not justify any generic link.
EV-0854,The Amazon.fr search did not find a page that unambiguously matched the exact Gozney Dome XL Gen 2 model.,Search performed for the French territory; this spot check does not prove unavailability and does not justify any generic link.
EV-0855,The Amazon.fr search did not find a page that unambiguously matched the exact Gozney Dome Gen 2 model.,Search performed for the French territory; this spot check does not prove unavailability and does not justify any generic link.
EV-0856,The Amazon.fr search did not find a page that unambiguously matched the exact Gozney Arc model.,Search performed for the French territory; this spot check does not prove unavailability and does not justify any generic link.
EV-0857,The Amazon.fr search did not find a page that unambiguously matched the exact Gozney Roccbox model.,Search performed for the French territory; this spot check does not prove unavailability and does not justify any generic link.
EV-0860,ASIN B08Q6662GK opened the exact Sage Pizzaiolo page; the displayed price was €699.00 and the page showed one unit remaining.,"Signed-out session for Paris 75001; sold and shipped by Super10count; price, stock, condition and offer contents subject to change."
EV-0861,"Sage states 400°C, several pizza programmes, a manual mode separating stone-floor and ceiling heat, a cordierite stone and dimensions of 46.1 × 47.2 × 27 cm.",Manufacturer specifications and claims; the advertised two-minute time is not treated as a Four à Nu measurement.
EV-0862,"The European manual documents indoor installation on a stable worktop, the automatic programmes, manual mode and maintenance of the stone and pan.",Manufacturer instructions for the European version; they do not measure performance.
EV-0863,"At the 350°C setpoint, the source measures 358°C at the centre after 16 minutes; at maximum, 400°C is reached after 18 min 33 s, with 372°C at the front and 390°C at the rear.",Infrared measurements from the Les Numériques protocol on one unit; origin of the unit not specified.
EV-0864,"In this session at 350°C, the pizza bakes in 3 min 32 s and the stone floor returns to the target in 2 min 25 s.","Dough, diameter and setting specific to the source's protocol; time not generalisable to all pizzas."
EV-0865,The source records 27°C on the casing during the measurement at 350°C and 47 dB during operation; it also reports a colder front of the stone and constrained access for cleaning.,Measurements and observations on one unit; casing temperature depends on the measurement point and time.
EV-0866,"The source describes around twenty minutes to reach 400°C, bakes of 1 min 30 s to two minutes and use of the supplied stone, peel and dish.",Separate usage report with no stone-floor mapping; paid links and origin of the unit not specified.
EV-0868,"The BPZ820 is justified mainly for specialised and guided indoor use; its price, permanent footprint and cooler front of the stone must be accepted before purchase.","Inference from the merchant record and the cited specifications, measurements and observations; no physical Four à Nu test."
EV-0870,ASIN B0D9C2J4LJ opened the exact Cuisinart CPZ120E page; the displayed price was €235.00 and the offer was shown as in stock.,"Signed-out session for Paris 75001; sold and shipped by Amazon; price, stock, condition and offer contents subject to change."
EV-0871,"Cuisinart states 1,875 W, a range from 170 to 400°C, 30 cm pizzas, a lit window and a kit including a stone, folding peel, deep dish and cutter wheel.",French manufacturer specifications; the five-minute bake remains a manufacturer claim.
EV-0872,"The heat-up signal sounds after 11 min 39 s, but the source waits 22 minutes to stabilise at 350°C and records 356°C at the centre versus 298°C at the front.",Les Numériques protocol on the exact European reference; origin of the unit not specified.
EV-0873,"In this session, a pizza bakes in 5 min 50 s, recovery takes 3 min 58 s and 400°C is reached after 32 minutes, with a 19°C difference recorded across the stone floor.",Dough and setting specific to the protocol; the values are not directly comparable with another pizza style.
EV-0874,The source measures 54 dB continuously and 0.653 kWh over thirty minutes at 350°C; it describes an imprecise dial and less polished finishes.,Measurements and observations on one unit; consumption depends on the protocol and is not an annual cost.
EV-0875,"The source describes pizzas taking around seven minutes, straightforward handling and noise close to 60 dB on the CPZ120 platform.",North American version without the E suffix; this observation corroborates ergonomics but proves neither the power nor the measurements of the European CPZ120E.
EV-0876,"The manual requires letting the stone cool completely, removing baked-on residue without immersing it and not reusing it while damp.",Manufacturer instructions for the exact European reference; they measure neither performance nor durability.
EV-0878,"The CPZ120E prioritises straightforward controls and a complete kit; buyers need to accept its long heat-up time, imprecise dial and continuous noise rather than choose it solely for its 400°C claim.",Inference from the French page and the exact CPZ120E protocol; no physical Four à Nu test.
EV-0880,"ASIN B07PZQ55PC opened the exact black variant; the displayed price was €89.48 and the buy box showed “Amazon Seconde main”, fulfilled by Amazon.","Signed-out session for Paris 75001; the used-item condition must be checked again without exception; price, stock, seller and contents subject to change."
EV-0881,"The black variant carries code G10006 10 and EAN 8056095873526; the manufacturer states 1,200 W, a 31 cm stone, two heating elements, a five-minute timer and a thermostat up to 400°C.",Manufacturer specifications; the claimed pizzeria-style results and five-minute time are not Four à Nu measurements.
EV-0882,"The comparison prepares at least three pizzas per appliance: one frozen, one with homemade dough and one with shop-bought dough and toppings; it examines baking, sticking and cleaning.","Commercial section with affiliate links; the source uses G10006B without publishing the EAN or official colour code, and the origin of the unit is not specified."
EV-0883,"The source reports around ten minutes of preheating, strong heat when opening, a compact format and the usefulness of the two supplied half-peels.",Non-instrumented observations from the El País session; no score or position from the comparison is reproduced.
EV-0884,The source measures 363.7°C on the Delizia stone when the thermostat cuts out and 86.6°C on the controls.,One grey unit whose exact colour code is not published; infrared measurement at one point in the cycle; the site sells accessories and states that it funded the test itself.
EV-0885,The source observes strong thermostat-related fluctuations and judges the two half-peels difficult to use while opening the oven; it switches to a one-piece peel for the bake.,"Same grey unit not identified by a colour code; usage report from an accessories retailer, imperfect dough acknowledged and no standardised repetition."
EV-0888,"The Delizia provides access to a hotter stone floor than a common domestic oven in a small format, but requires monitoring the cycle, protecting one's hands and checking the exact condition of the offer and its accessories.","Inference from the merchant record, specifications and two third-party sessions; no Four à Nu measurement or bake."
EV-0890,ASIN B0CNQ82K3Y opened the exact OO101EU page; the displayed price was €345.00 and the page showed one unit remaining.,"Signed-out session for Paris 75001; sold and shipped by Ornsof; price, stock, condition and offer contents subject to change."
EV-0891,"The French FAQ restricts the appliance to outdoor use, gives a pizza range from 175 to 370°C and explains that pellets produce smoke during electric heating; it also displays 1,760 W and 19 kg.",The power and weight values contradict the exact European manual and German FAQ; they are not retained as established characteristics.
EV-0892,"The guide documents the pizza, roast, bake, smoke and dehydrate modes, as well as the stone, tray, rack and pellet compartment.",Manufacturer usage documentation; it does not prove the relative quality of the different modes.
EV-0893,"At the 350°C target, the source records the oven as ready after 11 min 54 s, then measures 350°C at the centre after 13 min 12 s; the requested maximum temperature is reached 2 min 20 s after the signal.",Les Numériques protocol on the exact European model; origin of the unit not specified.
EV-0894,"In this session, the pizza bakes in around 3 min 30 s, recovery takes 4 min 15 s and the average difference between zones is 7°C; the oven sometimes exceeds the setpoint.",Dough and setting specific to the protocol; the observed overshoot does not describe every unit.
EV-0895,"The source measures 34 dB and 0.729 kWh in its protocol; it reports the absence of a peel, a door without a window and constrained cleaning access around the heating element and rails.",Measurements and observations on one unit; consumption dependent on programme and duration.
EV-0896,"After around two years, the author says she keeps the appliance in her outdoor kitchen; the pizza setting remains central, she also uses it for various bakes and protects it with a cover.","Individual long-term report on a British variant whose page does not publish the exact SKU; affiliate links, no thermal protocol and acquisition method of the original unit not specified."
EV-0897,"The manual for the exact European model states 220–240 V, 50–60 Hz and 2,400 W.",Manufacturer specification for the European OO101EU; the power contradicts the French FAQ in EV-0891.
EV-0898,The OO101EU makes sense for a versatile outdoor kitchen with an electrical outlet; it must not be bought as a direct substitute for a hotter specialised oven or used indoors.,"Inference from manufacturer instructions, the European manual, laboratory measurements and a British family's report; the weight published by Ninja remains contradictory and no Four à Nu test exists."
EV-0899,"The German FAQ for the exact model states 2,400 W and 22 kg.","The power corroborates the European manual; the weight contradicts the French FAQ's 19 kg, so no single weight is retained."
EV-0900,"ASIN B0C4PY8QBV opened the exact black, original-generation ETNA Rotante page; the displayed price was €929.72 and the offer was shown as in stock.","Signed-out session for Paris 75001; sold and shipped by best 4me; price, stock, condition and offer contents subject to change."
EV-0901,"Witt describes a main U-shaped burner, a motorised rotating stone and a second burner beneath the stone for the ETNA Rotante generation launched in 2022.","Manufacturer presentation; claims of speed, uniformity and gas savings are not Four à Nu measurements."
EV-0902,"For the Rotante, the European manual documents two burners, 750 × 650 × 440 mm, 26.8 kg net, 33.6 kg gross, rotation at 2.5 revolutions per minute, outdoor use and category I3+(28–30/37) applicable to France.","Check the regulator, hose, rating plate and gas actually supplied; the manual does not give the 40.5 cm stone diameter published by reviews."
EV-0903,"The source publishes 26.8 kg, 66.3 × 76.1 × 43.6 cm, a 40.5 cm stone and rotation at 2.5 revolutions per minute; it describes moving the oven with two people.","Reported characteristics, not presented as measured; dimensions converge with the manual after placing the axes in the same order and rounding; paid links and origin of the unit not specified."
EV-0904,"In the reported session, the source preheats for around fifteen minutes and bakes most of the pizzas in around two minutes.","Times specific to the published pizzas and conditions; no stone temperature, weather or standardised repetitions; paid links and origin of the unit not specified."
EV-0905,"During an outdoor trial at around 7°C, the source waits nearly thirty minutes before judging the oven ready to bake.","Cold weather, an opening without a door and the absence of a published stone temperature limit comparability; affiliate links and acquisition method of the unit not specified."
EV-0906,"The first pizza burns at the edge at full flame; the second, baked after reducing the flame, has a base and crust rim judged to be better balanced. The page also publishes 40 kg and 63.3 × 76.1 × 43.6 cm.","Two trials without a comparative protocol; weight and width contradicting the manual, not retained as canonical characteristics; affiliate links and orange version received with no acquisition method specified."
EV-0907,"The author describes a heavy and wide oven, acknowledges the relevance of a more uniform stone floor, but prefers to retain the ability to move the pizza manually according to the heat zones.",Personal assessment without a complete quantified protocol; origin of the unit and commercial relationship not specified; failure reports are not included.
EV-0908,"The ETNA Rotante targets a fixed outdoor station and large pizzas; the rotation and burner beneath the stone floor reduce some actions without removing the need for monitoring, central placement or flame adjustment.","Inference from manufacturer documents, standardisation of the characteristics and three usage reports; no physical Four à Nu test exists and Rotante Control models are excluded."
EV-0909,"The source obtains its best balance after preheating at full power and then reducing the U-shaped burner; it also reports the absence of an integrated thermometer and peel, as well as a booster that can sometimes be difficult to see.","Usage report from one unit, with no universal setting; paid links and origin of the unit not specified."
EV-0910,"The product page states capacity for a pizza up to 40.5 cm, dimensions of 76 × 66 × 44 cm and a weight of 33 kg.",Rounded manufacturer characteristics; the page does not distinguish net and gross weight and does not constitute an independent measurement.
EV-0911,"The manual publishes 75 × 65 × 44 cm, 26.8 kg net and 33.6 kg gross; the product page rounds to 76 × 66 × 44 cm and 33 kg; Tech Advisor's figures agree within rounding once the axes are placed in the same order, while T3 publishes a width of 63.3 cm and 40 kg.","Documentary standardisation of units, axes and conventions; no value is averaged, the manual remains the manufacturer's reference and T3's uncorroborated figures remain visible."
EV-0305,"The product page lists €699, dimensions of 682 × 652 × 393 mm, 30 kg, a 20 mm stone and pizzas stated to be up to 45 cm. The France option uses 37 mbar and excludes the hose and regulator.","Official page checked on 7 September 2026. The oven-only price may change; check the basket and exact variant. Manufacturer dimensions, without a physical Four à Nu measurement."
EV-0306,"The product page lists €899.99, 530 × 629 × 342 mm, 26.5 kg, a 20 mm stone and a stated pizza size of up to 40 cm. The general contents list includes a 1.2 m hose and regulator.",European page in French checked on 7 September 2026; it offers a France variant. The general contents list does not replace confirmation of what is included with that variant. Price may change; manufacturer dimensions.
EV-0307,The calculated horizontal rectangle is 0.444664 m² for the Koda 2 Pro and 0.33337 m² for the Arc XL. The former is approximately 33.4% larger.,"Products of the two horizontal manufacturer dimensions: 0.682 × 0.652 and 0.530 × 0.629. Ratio (0.444664 / 0.33337 − 1) × 100. Excludes clearances, cylinder, hose, door and working movements; these are neither cooking areas nor safe installation areas."
EV-0308,The Koda 2 Pro is preferred for making use of its larger diameter and lower price when there is enough space; the Arc XL’s premium may be justified by its narrower body for pizzas generally measuring 30 to 35 cm.,"Decision inference based on specifications, the footprint calculation and previously attributed handling limitations. It does not distinguish cooking quality, throughput, taste or consumption."
EV-0309,"The product page lists €599, unpacked dimensions of 54.5 × 44.2 × 26.3 cm, 17.6 kg, 1,600 W, a range of 20 to 450 °C, pizza presets and oven, grill and proofing modes. The contents list includes a stone and rack, with no peel mentioned.",Official France product page checked on 7 September 2026. Price may change. The absence of a peel from the list is distinguished from checking a delivered box; dimensions exclude clearances.
EV-0315,"The product page lists €829.90, dimensions of 46.1 × 47.2 × 27 cm, 400 °C, pizza programmes and a manual mode with separate control of heat from the stone floor and above. A peel and pan are listed among the accessories.",Official France product page checked on 7 September 2026. Recheck the price and offer contents; the manual takes precedence for clearances and safety.
EV-0316,"The product page lists €399.90, 1,875 W, a range of 170 to 400 °C, a 30 cm pizza and temperature, timer and light controls. A stone, folding peel, deep dish and pizza wheel are listed.","Official France product page checked on 7 September 2026. Price may change; no usable external dimensions were available in the extracted page, so confirm them in the documentation before installation."
EV-0317,"The Cuisinart is selected for starting with the included accessories, the Volt for its variety of modes and the Sage for separate control of heat from below and above. At the recorded official prices, Volt minus Cuisinart is €199.10 and Sage minus Volt is €230.90.","Preferences based on functions and setup costs, without ranking cooking performance. Subtractions of dated manufacturer prices: 599 − 399.90; 829.90 − 599. No Amazon price or first-hand experience."
EV-0318,"The simulations give Cuisinart €399.90, Volt €679 and Koda 2 Pro €1,104. Only the oven lines use observed manufacturer prices; the other amounts are chosen editorial assumptions that can be changed.","Cuisinart: 399.90 + 0; Volt: 599 + 40 peel + 40 thermometer; Koda: 699 + 50 peel + 40 thermometer + 150 table + 50 gas connection + 30 cylinder deposit + 35 gas + 50 protective cover. Delivery assumed to be zero. Excludes ingredients, electricity, maintenance, repairs and replacement. A zero amount may indicate an item already owned. Separate electricity example: 0.8 kWh × €0.25/kWh = €0.20, two assumptions with no associated model."
EV-0319,"A useful budget distinguishes included equipment, items already owned, missing installation equipment and recurring expenses. Convenience purchases only become priorities when they meet a need for a particular size, storage arrangement or cooking pace.","Inference about organising the purchase based on different box contents and explicit simulations. No total constitutes a quotation, safety validation or promise of profitability."
